n,seed,dim_restricted,mean_restricted,max_restricted,min_restricted,elapsed_time
3,18,5,9.853338598610968e-05,0.00022407012132580255,2.0310623613835115e-05,0.23306669999146834
3,95,5,0.00022198673841255755,0.000511689414352568,2.803986403510578e-05,0.23219100000278559
3,14,5,1.9549489079945693e-05,3.822559788770627e-05,7.935616270181688e-06,0.2393584999954328
3,87,5,6.724565188378356e-05,0.00015997984752320082,2.1979839921091317e-05,0.22938309999881312
3,95,5,0.00022198673841255755,0.000511689414352568,2.803986403510578e-05,0.22058049999759533
3,70,5,3.0328278742295994e-05,4.8695235010167014e-05,1.3127960385921119e-05,0.22122740000486374
3,12,5,6.660839086944297e-05,0.0001025139912646783,2.9914863580434758e-05,0.22031770000467077
3,76,5,0.000385861617416974,0.0005826119475242633,0.00013962655683803096,0.2233704999962356
3,55,5,1.4407991725359868e-05,2.305806660098078e-05,4.2938339859948785e-06,0.2214844000118319
3,5,5,4.754847787885241e-05,7.679956314487663e-05,9.089300461620743e-06,0.22258220000367146
3,4,5,8.200022069460949e-05,0.00015176109108368783,3.154689847400598e-05,0.2219706000032602
3,12,5,6.660839086944297e-05,0.0001025139912646783,2.9914863580434758e-05,0.2224768000014592
3,28,5,0.0010689894232499106,0.0022306515631658743,0.00044715018732840696,0.22726759999932256
3,30,5,7.014268003656483e-05,0.00011478403710412024,3.940725590465527e-06,0.2212498000008054
3,65,5,2.333121045362495e-05,5.4906846380418184e-05,9.010533398643071e-06,0.2206776999955764
3,78,5,0.0001305217374676725,0.00023037262472527562,2.1204928122318308e-05,0.22042209999926854
3,4,5,8.200022069460949e-05,0.00015176109108368783,3.154689847400598e-05,0.22393039999587927
3,72,5,0.0002021969862904228,0.0004763122302814072,7.58505219680449e-05,0.22066340000310447
3,26,5,4.764571237112712e-05,8.810471858702456e-05,1.8923811003978744e-05,0.2221172999998089
3,92,5,6.710600025755394e-05,8.310592105942189e-05,4.915155742940618e-05,0.22101569999358617
3,84,5,1.867889420866777e-05,3.473120918148546e-05,5.910773954301818e-06,0.22050680000393186
3,90,5,5.967092191000967e-05,0.00010352299655921806,7.190004236286071e-06,0.2239865000010468
3,70,5,3.0328278742295994e-05,4.8695235010167014e-05,1.3127960385921119e-05,0.22137179999845102
3,54,5,7.293888904706296e-05,0.00018330346004192348,3.102713304981215e-05,0.22190729998692404
3,29,5,0.00013719081020104978,0.00027001896420435044,7.227715558699729e-06,0.2198872000008123
3,58,5,4.147192957172374e-05,6.817693524768541e-05,9.427597120556918e-06,0.22216499999922235
3,76,5,0.000385861617416974,0.0005826119475242633,0.00013962655683803096,0.22084429999813437
3,36,5,7.318657209077325e-05,0.00021521404761628543,8.794286892591133e-06,0.22134809999261051
3,1,5,0.00012148355394116962,0.00016969500422765477,8.203131610063872e-05,0.2193274999881396
3,98,5,1.2289362631420167e-05,2.5486477666872683e-05,6.784601354513689e-06,0.21885849999671336
3,21,5,0.0001988222217052785,0.000322999957652599,6.913402187454356e-05,0.2231753999949433
3,90,5,5.967092191000967e-05,0.00010352299655921806,7.190004236286071e-06,0.2203637000056915
3,55,5,1.4407991725359868e-05,2.305806660098078e-05,4.2938339859948785e-06,0.22475959999428596
3,44,5,0.00044638289564851596,0.0005447335039227404,0.00018580918043641065,0.2204314999980852
3,36,5,7.318657209077325e-05,0.00021521404761628543,8.794286892591133e-06,0.22138660000928212
3,20,5,6.490514495039571e-05,0.00011270858482942169,2.0351046715619744e-05,0.22759470000164583
3,28,5,0.0010689894232499106,0.0022306515631658743,0.00044715018732840696,0.22144269999989774
3,98,5,1.2289362631420167e-05,2.5486477666872683e-05,6.784601354513689e-06,0.22088850000000093
3,44,5,0.00044638289564851596,0.0005447335039227404,0.00018580918043641065,0.22175379999680445
3,14,5,1.9549489079945693e-05,3.822559788770627e-05,7.935616270181688e-06,0.23353150000912137
3,12,5,6.660839086944297e-05,0.0001025139912646783,2.9914863580434758e-05,0.2561990000103833
3,49,5,6.0844025500622e-05,0.0001238632065585946,1.4283898394828945e-05,0.2658274999994319
3,13,5,7.150141751741924e-05,0.00012921530705463022,3.87676163536901e-05,0.2509898999996949
3,46,5,8.297555346509382e-05,0.0001823750017665522,2.6544346642712952e-05,0.2551859999948647
3,45,5,0.0001317090597277504,0.00022580547169336304,7.464703553953326e-06,0.23663240000314545
3,78,5,0.0001305217374676725,0.00023037262472527562,2.1204928122318308e-05,0.2735663000057684
3,34,5,9.53237767618184e-05,0.00016178570776805433,2.83880466186882e-05,0.2407909000030486
3,6,5,0.00012223761471603472,0.00026741534003010917,3.152542162571331e-05,0.2339668999920832
3,94,5,8.755321789163604e-05,0.0001200193457653413,4.484172293651572e-05,0.23557599999185186
3,59,5,0.0002193459094195628,0.00040094879082306847,6.258720462127801e-05,0.22183520000544377
3,69,5,7.011975121651563e-05,0.00015099321835971248,9.941419618866256e-06,0.2216813999984879
3,16,5,0.00015251009578626473,0.00023681431415076116,5.150187944085162e-05,0.24430320000101347
3,49,5,6.0844025500622e-05,0.0001238632065585946,1.4283898394828945e-05,0.27003070000500884
3,11,5,0.00011745760423915154,0.00028035410343772623,2.0791743671409902e-05,0.2421355999977095
3,71,5,8.588963183506641e-05,0.0002215620999978316,3.090491382004615e-05,0.22208440001122653
3,38,5,4.4984969351654035e-05,9.257332724479396e-05,8.930426488006443e-06,0.6109486000059405
3,81,5,2.3374496006700173e-05,6.150902187772805e-05,6.542843757020532e-06,0.592639100010274
3,80,5,0.0004388648905581442,0.0007390259994249292,0.00012353923967440617,0.5783766999957152
3,47,5,0.00011657101783074325,0.0003292996490981204,2.065272771226108e-05,0.36340889999701176
3,74,5,9.886078847446082e-06,2.0853264242718105e-05,4.8963069315985786e-06,0.2329907999956049
3,25,5,0.00022497071767610567,0.0004098452788901912,1.6287635715138068e-05,0.22960030000831466
3,91,5,5.4455343101840267e-05,0.00010728730879636376,1.3191220729492702e-05,0.22003969999786932
3,9,5,4.9391792662554127e-05,0.00011013331206995377,1.8464160157325693e-05,0.2196062000002712
3,6,5,0.00012223761471603472,0.00026741534003010917,3.152542162571331e-05,0.26796830000239424
3,85,5,8.800165769161813e-05,0.0001821891078820929,1.251432303048491e-05,0.27999179999460466
3,30,5,7.014268003656483e-05,0.00011478403710412024,3.940725590465527e-06,0.2753819000063231
3,99,5,0.0001764314453885334,0.0003182112492301493,2.9542843810860953e-05,0.2780780000030063
3,38,5,4.4984969351654035e-05,9.257332724479396e-05,8.930426488006443e-06,0.2787906000012299
3,11,5,0.00011745760423915154,0.00028035410343772623,2.0791743671409902e-05,0.2814163000002736
3,30,5,7.014268003656483e-05,0.00011478403710412024,3.940725590465527e-06,0.2765219000139041
3,13,5,7.150141751741924e-05,0.00012921530705463022,3.87676163536901e-05,0.2751607999962289
3,49,5,6.0844025500622e-05,0.0001238632065585946,1.4283898394828945e-05,0.2650061000022106
3,36,5,7.318657209077325e-05,0.00021521404761628543,8.794286892591133e-06,0.26449159999901894
3,59,5,0.0002193459094195628,0.00040094879082306847,6.258720462127801e-05,0.26599060000444297
3,82,5,1.0446890220923426e-05,1.704908830764207e-05,2.246232522412928e-06,0.259949700004654
3,47,5,0.00011657101783074325,0.0003292996490981204,2.065272771226108e-05,0.2608624999993481
3,21,5,0.0001988222217052785,0.000322999957652599,6.913402187454356e-05,0.26262470000074245
3,48,5,4.563412060850179e-05,0.00010516920685545821,1.3467197830466019e-06,0.26066759999957867
3,46,5,8.297555346509382e-05,0.0001823750017665522,2.6544346642712952e-05,0.2645373999985168
3,27,5,0.00030844254193262776,0.0006583168494044942,6.264255805276101e-05,0.28062130000034813
3,86,5,6.903968666555825e-05,0.00012513934298998122,3.1716360034606674e-05,0.25655079999705777
3,35,5,0.0001996495957552307,0.000319201342932951,7.249736183514272e-05,0.25935870000103023
3,90,5,5.967092191000967e-05,0.00010352299655921806,7.190004236286071e-06,0.25868959999934305
